Hrac,Vek,Prumerny_cas_na_lede_min
Jordan Kyrou,21,10.83
Riley Stillman,21,19.12
Noah Gregor,21,10.06
Dennis Cholowski,21,19.22
Samuel Girard,21,21.26
Pierre-Luc Dubois,21,17.93
Henrik Borgstrom,22,12.38
Jesper Bratt,21,13.98
Mikhail Sergachev,21,20.42
Vitaly Abramov,21,5.78
Michael McLeod,21,10.23
Tage Thompson,22,6.98
Alexander Nylander,21,12.14
German Rubtsov,21,6.8
Filip Hronek,22,23.9
Troy Stecher,25,15.35
Nikita Zaitsev,28,22.15
Drake Caggiula,25,11.82
Patrick Russell,26,11.36
Michal Kempny,29,18.67
Egor Korshkov,23,10.13
Janne Kuokkanen,21,12.07
Lucas Carlsson,22,14.14
Otto Koivula,21,7.91
Brandon Hagel,21,11.8
Calvin Thurkauf,22,8.26
Joachim Blichfeld,21,12.77
Dylan Gambrell,23,11.95
Rhett Gardner,23,10.14
Matt Luff,22,10.37
Mathieu Olivier,22,7.55
Trevor Moore,24,12.9
Brennan Menell,22,13.99
Gage Quinney,24,9.71
Zack MacEwen,23,9.62
Gerald Mayhew,27,11.55
Zach Aston-Reese,25,14.43
Kailer Yamamoto,21,17.39
Nicolas Hague,21,16.08
Conor Timmins,21,10.41
Mario Ferraro,21,15.89
Cale Fleury,21,14.35
Morgan Geekie,21,11.78
Jaret Anderson-Dolan,20,10.26
Cody Glass,20,13.35
Mikey Anderson,20,18.14
Casey Mittelstadt,21,12.76
Urho Vaakanainen,20,16.85
Nico Hischier,20,18.06
Jesper Boqvist,21,10.95
Klim Kostin,20,8.54
Elias Pettersson,21,18.53
Gabriel Vilardi,20,12.85
Nick Suzuki,20,15.99
Jack Studnicka,20,11.95
Robert Thomas,20,14.56
Jason Robertson,20,12.32
Morgan Frost,20,13.68
Max Comtois,20,13.97
Henri Jokiharju,20,17.22
Miro Heiskanen,20,23.75
Martin Necas,20,14.17
Timothy Liljegren,20,10.29
Josh Norris,20,17.92
Ryan Poehling,20,10.34
Cale Makar,21,21.09
Lias Andersson,21,9.54
Erik Brannstrom,20,14.84
Alexandre Texier,20,12.75
Filip Chytil,20,14.84
