Home,Away,Goals_home,Goals_away,First_goal_team,Winner
Pittsburgh,Philadelphia,7,1,Pittsburgh,Pittsburgh
Carolina,Calgary,2,1,Carolina,Carolina
NY Rangers,Tampa Bay,4,1,NY Rangers,NY Rangers
Detroit,Edmonton,3,1,Edmonton,Detroit
Nashville,Chicago,3,0,Nashville,Nashville
Dallas,Minnesota,6,3,Minnesota,Dallas
Anaheim,Winnipeg,7,4,Anaheim,Anaheim
Boston,San Jose,5,1,San Jose,Boston
Toronto,Washington,3,4,Washington,Washington
Pittsburgh,Philadelphia,7,1,Pittsburgh,Pittsburgh
Carolina,Calgary,2,1,Carolina,Carolina
NY Rangers,Tampa Bay,4,1,NY Rangers,NY Rangers
Detroit,Edmonton,3,1,Edmonton,Detroit
Nashville,Chicago,3,0,Nashville,Nashville
Dallas,Minnesota,6,3,Minnesota,Dallas
Anaheim,Winnipeg,7,4,Anaheim,Anaheim
New Jersey,Tampa Bay,6,7,New Jersey,Tampa Bay
Columbus,Edmonton,1,4,Edmonton,Edmonton
St Louis,Minnesota,2,1,St Louis,St Louis
Arizona,Montreal,1,4,Montreal,Montreal
Colorado,Florida,3,4,Colorado,Florida
Los Angeles,Vancouver,3,5,Vancouver,Vancouver
New Jersey,Tampa Bay,6,7,New Jersey,Tampa Bay
Columbus,Edmonton,1,4,Edmonton,Edmonton
St Louis,Minnesota,2,1,St Louis,St Louis
Arizona,Montreal,1,4,Montreal,Montreal
Colorado,Florida,3,4,Colorado,Florida
Los Angeles,Vancouver,3,5,Vancouver,Vancouver
Nashville,Calgary,5,6,Nashville,Calgary
Vegas,Montreal,4,5,Vegas,Montreal
Nashville,Calgary,5,6,Nashville,Calgary
Vegas,Montreal,4,5,Vegas,Montreal
New Jersey,Philadelphia,3,4,Philadelphia,Philadelphia
NY Islanders,Tampa Bay,5,2,NY Islanders,NY Islanders
Washington,Buffalo,6,1,Buffalo,Washington
Carolina,Detroit,7,3,Carolina,Carolina
St Louis,Columbus,4,3,Columbus,St Louis
Colorado,Dallas,1,2,Dallas,Dallas
Anaheim,Vancouver,2,1,Vancouver,Anaheim
San Jose,Winnipeg,2,3,San Jose,Winnipeg
New Jersey,Philadelphia,3,4,Philadelphia,Philadelphia
NY Islanders,Tampa Bay,5,2,NY Islanders,NY Islanders
Washington,Buffalo,6,1,Buffalo,Washington
